任务ID,场景ID,任务名称,优先级,负责人,开始日期,截止日期,完成度%,状态,阻塞原因,是否逾期
TASK-001,SCN-01,确认营销多源数据口径,P1,王梓郡,2026-05-01,2026-05-12,80,进行中,业务口径多轮确认,是
TASK-002,SCN-01,异常剔除规则上线,P1,王梓郡,2026-05-21,2026-05-28,20,进行中,需业务确认边界,否
TASK-003,SCN-01,周/月报模板验收,P2,王梓郡,2026-05-29,2026-06-05,0,未开始,,否
TASK-004,SCN-02,一期银行样本收集,P1,王梓郡,2026-05-15,2026-06-15,35,进行中,样本反馈慢,否
TASK-005,SCN-02,流水格式标准化规则设计,P1,王梓郡,2026-06-01,2026-06-20,0,未开始,,否
TASK-006,SCN-03,财务审核规则冻结,P1,王梓郡,2026-05-15,2026-05-30,10,进行中,规则仍在确认,否
TASK-007,SCN-04,权限来源字段映射确认,P2,王梓郡,2026-05-12,2026-05-25,70,进行中,,否
TASK-008,SCN-04,授权策略联调测试,P1,王梓郡,2026-05-26,2026-06-10,0,未开始,,否
TASK-009,SCN-05,淘宝打假闭环联调,P1,王梓郡,2026-05-01,2026-05-14,60,进行中,变更频繁,是
TASK-010,SCN-05,京东/拼多多链路验证,P1,王梓郡,2026-06-01,2026-06-20,0,未开始,,否
TASK-011,SCN-06,登录超时重试机制优化,P1,王梓郡,2026-05-15,2026-05-22,30,进行中,需环境联测,否
TASK-012,SCN-06,告警通知策略优化,P2,王梓郡,2026-05-16,2026-05-25,10,进行中,,否
