里程碑ID,场景ID,里程碑名称,里程碑类型,计划完成日期,实际完成日期,状态,是否关键,逾期天数,责任人
MILE-001,SCN-01,数据校验规则冻结,规则确认,2026-05-20,,进行中,是,0,王梓郡
MILE-002,SCN-01,周/月报标准模板验收,验收,2026-06-05,,未开始,是,0,王梓郡
MILE-003,SCN-02,一期银行样本收集完成,调研,2026-06-15,,进行中,是,0,王梓郡
MILE-004,SCN-02,流水标准化规则库发布,设计,2026-06-30,,未开始,是,0,王梓郡
MILE-005,SCN-03,审核规则冻结,需求,2026-05-30,,未开始,是,0,王梓郡
MILE-006,SCN-03,首版自动审核流程联调,联调,2026-07-31,,未开始,是,0,王梓郡
MILE-007,SCN-04,权限映射配置完成,开发,2026-05-25,,进行中,是,0,王梓郡
MILE-008,SCN-04,授权日志追溯验收,验收,2026-06-20,,未开始,是,0,王梓郡
MILE-009,SCN-05,淘宝闭环联调完成,联调,2026-05-31,,进行中,是,0,王梓郡
MILE-010,SCN-05,京东/拼多多链路验证完成,联调,2026-06-20,,未开始,是,0,王梓郡
MILE-011,SCN-06,生产环境上线,上线,2026-04-08,2026-04-08,已完成,是,0,王梓郡
MILE-012,SCN-06,告警优化上线,优化,2026-05-22,,未开始,是,0,王梓郡
