任务ID,所属项目编号,任务名称,任务类型,负责人,开始日期,截止日期,状态,完成度,优先级,验收标准,输出物
TASK-001,RPA-001,营销周报数据源采集规则确认,需求,王梓郡,2026-05-15,2026-05-20,进行中,60,P1,确认来源系统与口径一致,需求评审记录
TASK-002,RPA-001,异常数据审核剔除策略上线,开发,信息化管理部,2026-05-21,2026-05-28,未开始,0,P1,样本通过率>=95%,策略文档+测试记录
TASK-003,RPA-001,周/月报自动排版模板验收,验收,营销管理部,2026-05-29,2026-06-05,未开始,0,P2,模板字段与样式确认通过,验收单
TASK-004,RPA-002,司库一期银行样本收集,调研,财务部,2026-05-15,2026-06-15,进行中,20,P1,完成至少10家样本归档,样本台账
TASK-005,RPA-002,流水格式标准化规则库设计,设计,信息化管理部,2026-06-01,2026-06-20,未开始,0,P1,覆盖已收样本95%以上,规则库文档
TASK-006,RPA-003,财务智能审核规则冻结,需求,财务部,2026-05-15,2026-05-30,未开始,0,P1,规则审批完成,规则清单
TASK-007,RPA-004,权限变更申请来源接口梳理,调研,信息化管理部,2026-05-15,2026-05-25,进行中,40,P2,字段映射确认完成,接口映射表
TASK-008,RPA-005,淘宝打假闭环联调,联调,品牌管理部,2026-05-15,2026-05-31,进行中,50,P1,抓取-投诉-复核全链路跑通,联调报告
TASK-009,RPA-005,京东/拼多多投诉链路验证,联调,品牌管理部,2026-06-01,2026-06-20,未开始,0,P1,关键路径无阻塞,联调记录
TASK-010,RPA-006,12345流程超时告警优化,优化,信息化管理部,2026-05-15,2026-05-22,未开始,0,P1,超时场景可自动告警并记录,告警策略说明
