文档ID,文档名称,文档类型,所属阶段,关联项目编号,版本,是否最新,最后更新时间,存储路径,备注
DOC-001,同仁堂RPA项目_业务流程调研表-司库.xlsx,调研表,需求调研,RPA-002,V1,是,2026-05-14,D:\工作桌面\RPA\需求调研\同仁堂RPA项目_业务流程调研表-司库.xlsx,含技术可行性与价值评估页签
DOC-002,同仁堂RPA项目_业务流程调研表-营销管理部.xlsx,调研表,需求调研,RPA-001,RPA-006,V1,是,2026-05-14,D:\工作桌面\RPA\需求调研\同仁堂RPA项目_业务流程调研表-营销管理部.xlsx,覆盖营销接诉与报表相关场景
DOC-003,同仁堂RPA项目_业务流程调研表-财务部.xlsx,调研表,需求调研,RPA-003,RPA-007,V1,是,2026-05-14,D:\工作桌面\RPA\需求调研\同仁堂RPA项目_业务流程调研表-财务部.xlsx,覆盖财务审核相关场景
DOC-004,同仁堂RPA项目实施方案.docx,实施方案,立项,RPA-ALL,V3.8,是,2026-05-14,D:\工作桌面\RPA\项目立项\RPA立项报告+议题说明\终-V3.8同仁堂RPA项目实施方案.docx,建议设为方案基线版本
DOC-005,同仁堂RPA项目实施计划-新需求规划.docx,实施计划,立项,RPA-ALL,V3.3,否,2026-05-14,D:\工作桌面\RPA\项目立项\RPA立项报告+议题说明\V3.3同仁堂RPA项目实施计划-新需求规划.docx,历史版本
DOC-006,北京同仁堂RPA项目12345接诉即办自动化流程需求说明1.0.docx,验收说明,项目验收,RPA-006,V1.0,是,2026-05-14,D:\工作桌面\RPA\项目验收\北京同仁堂RPA项目12345接诉即办自动化流程需求说明1.0.docx,交付验收依据
DOC-007,北京同仁堂RPA项目淘宝打假自动化流程需求说明1.0.docx,验收说明,项目验收,RPA-005,V1.0,是,2026-05-14,D:\工作桌面\RPA\项目验收\北京同仁堂RPA项目淘宝打假自动化流程需求说明1.0.docx,交付验收依据
DOC-008,北京同仁堂RPA项目京东打假自动化流程需求说明1.0.docx,验收说明,项目验收,RPA-005,V1.0,是,2026-05-14,D:\工作桌面\RPA\项目验收\北京同仁堂RPA项目京东打假自动化流程需求说明1.0.docx,交付验收依据
DOC-009,北京同仁堂RPA项目导出饭卡生凭自动化流程需求说明1.0.docx,验收说明,项目验收,RPA-007,V1.0,是,2026-05-14,D:\工作桌面\RPA\项目验收\北京同仁堂RPA项目导出饭卡生凭自动化流程需求说明1.0.docx,交付验收依据
DOC-010,接诉即办-main.prj,流程工程,项目实施,RPA-006,V1,是,2026-05-14,D:\工作桌面\RPA\项目实施\RPA12345开发\接诉即办\main.prj,生产流程主文件
DOC-011,接诉即办-登录.task,流程脚本,项目实施,RPA-006,V1,是,2026-05-14,D:\工作桌面\RPA\项目实施\RPA12345开发\接诉即办\登录.task,包含登录逻辑
DOC-012,电商平台打假数据美化脚本.py,脚本,项目实施,RPA-005,V1,是,2026-05-14,D:\工作桌面\RPA\项目实施\电商平台打假\beautify_excel.py,用于导出美化报表
DOC-013,同仁堂淘宝平台商品抓取结果v1.0.xlsx,数据产物,项目实施,RPA-005,V1.0,否,2026-05-14,D:\工作桌面\RPA\项目实施\电商平台打假\同仁堂淘宝平台商品抓取结果v1.0.xlsx,基础抓取结果
DOC-014,同仁堂淘宝平台商品抓取结果(不带图)v1.0.xlsx,数据产物,项目实施,RPA-005,V1.0,是,2026-05-14,D:\工作桌面\RPA\项目实施\电商平台打假\同仁堂淘宝平台商品抓取结果(不带图)v1.0.xlsx,结构更适合作为标准输入
DOC-015,2026年销售周报表（第17周）.xlsx,报表样例,项目实施,RPA-001,V2026W17,是,2026-05-14,D:\工作桌面\RPA\项目实施\营销周报\2026年销售周报表（第17周）.xlsx,作为自动化周报模板样例
